player,nba_id,team_id,team,DRAFT_YEAR,DRAFT_NUMBER
Brogdon Malcolm,1627763,1610612764,WAS,2016.0,36.0
Brooks Dillon,1628415,1610612745,HOU,2017.0,45.0
Brown Bruce,1628971,1610612761,TOR,2018.0,42.0
Brown Jaylen,1627759,1610612738,BOS,2016.0,3.0
Brown Kendall,1631112,1610612754,IND,2022.0,48.0
Brown Kobe,1641738,1610612746,LAC,2023.0,30.0
Brown Moses,1629650,1610612757,POR,,
Brown III Greg,1630535,1610612742,DAL,2021.0,43.0
Brown Jr. Charlie,1629718,1610612752,NYK,,
Brunson Jalen,1628973,1610612752,NYK,2018.0,33.0
Bryant Thomas,1628418,1610612748,MIA,2017.0,42.0
Bufkin Kobe,1641723,1610612737,ATL,2023.0,15.0
Bullock Jr. Reggie,203493,1610612745,HOU,2013.0,25.0
Burks Alec,202692,1610612748,MIA,2011.0,12.0
Butler Jared,1630215,1610612764,WAS,2021.0,40.0
Butler Jimmy,202710,1610612748,MIA,2011.0,30.0
Buzelis Matas,1641824,1610612741,CHI,2024.0,11.0
Cain Jamal,1631288,1610612740,NOP,,
Caldwell-Pope Kentavious,203484,1610612753,ORL,2013.0,8.0
Camara Toumani,1641739,1610612757,POR,2023.0,52.0
Cancar Vlatko,1628427,1610612743,DEN,2017.0,49.0
Capela Clint,203991,1610612737,ATL,2014.0,25.0
Carlson Branden,1642382,1610612761,TOR,,
Carrington Carlton,1642267,1610612764,WAS,2024.0,14.0
Carter Devin,1642269,1610612758,SAC,2024.0,13.0
Carter Jevon,1628975,1610612741,CHI,2018.0,32.0
Carter Jr. Wendell,1628976,1610612753,ORL,2018.0,7.0
Carton DJ,1630618,1610612761,TOR,,
Caruso Alex,1627936,1610612760,OKC,,
Castle Stephon,1642264,1610612759,SAS,2024.0,4.0
Castleton Colin,1630658,1610612747,LAL,,
Champagnie Julian,1630577,1610612759,SAS,,
Champagnie Justin,1630551,1610612764,WAS,,
Chomche Ulrich,1642279,1610612761,TOR,2024.0,57.0
Christie Cam,1642353,1610612746,LAC,2024.0,46.0
Christie Max,1631108,1610612747,LAL,2022.0,35.0
Christopher Josh,1630528,1610612748,MIA,2021.0,24.0
Cissoko Sidy,1631321,1610612759,SAS,2023.0,44.0
Clark Jaylen,1641740,1610612750,MIN,2023.0,53.0
Clarke Brandon,1629634,1610612763,MEM,2019.0,21.0
Clarkson Jordan,203903,1610612762,UTA,2014.0,46.0
Claxton Nic,1629651,1610612751,BKN,2019.0,31.0
Clingan Donovan,1642270,1610612757,POR,2024.0,7.0
Clowney Noah,1641730,1610612751,BKN,2023.0,21.0
Coffey Amir,1629599,1610612746,LAC,,
Collier Isaiah,1642268,1610612762,UTA,2024.0,29.0
Collins John,1628381,1610612762,UTA,2017.0,19.0
Collins Yuri,1641879,1610612744,GSW,,
Collins Zach,1628380,1610612759,SAS,2017.0,10.0
Conley Mike,201144,1610612750,MIN,2007.0,4.0
Connaughton Pat,1626192,1610612749,MIL,2015.0,41.0
